Nome,Dia 1,Dia 2,Dia 3,Dia 4,Dia 5,Dia 6,Dia 7
Arroz Agulinha Tipo 1 Qualita,0.0,66.66666660610466,0.0,66.66666643430314,0.0,66.6666670551247,0.0
Batata Inglesa,0.0,99.99999937858689,0.0,100.00000090233058,0.0,99.9999998363143,0.0
Batata Doce Rosada,75.00000014237581,0.0,74.99999982225839,0.0,75.00000015852434,0.0,75.00000035910558
Macarrao Adria Espaguete 8,152.24604553594065,0.0,152.24604545401334,0.0,152.24604530214322,0.0,152.246045127079
Mandioca Pre Cozida Swift,0.0,100.00000166426432,0.0,99.99999870859334,0.0,99.99999973835516,0.0
Tapioca da Terrinha,49.99999995672727,0.0,50.00000012055828,0.0,50.000000011342365,0.0,50.00000015878516
Farofa de Mandioca Tradicional Yoki,0.0,33.3333332971363,0.0,33.33333344661456,0.0,33.33333337958314,0.0
Feijao Preto Tipo 1 Qualita,0.0,106.66666677918259,0.0,106.66666751279598,0.0,106.66666662397812,0.0
Aveia em flocos regulares quaker,168.74999963968807,0.0,168.749999691737,0.0,168.7499998269847,0.0,168.7499997553329
Granola Qualita ,0.0,51.08479409094824,0.0,51.08479409118298,0.0,51.08479415178502,0.0
Pao Frances,0.0,50.00000024578521,0.0,50.000000004049106,0.0,49.999999844167654,0.0
Pao de Forma Integral Wickbold,0.0,33.333333274490585,0.0,33.333333398742916,0.0,33.3333334393682,0.0
Frango Congelado Seara,163.62963169981956,0.0,163.62963235352956,0.0,163.62963237101818,0.0,163.62963139029017
Carne Moida Patinho Swift,75.00000037798928,0.0,74.99999954385584,0.0,74.99999946151124,0.0,75.00000093983844
Atum Solido Gomes da Costa Natural,0.0,39.99999997412349,0.0,39.99999968587885,0.0,40.00000045582695,0.0
Sardinha em oleo Gomes da Costa,0.0,52.50835241473273,0.0,52.50835192837539,0.0,52.50835252346201,0.0
File de Tilapia Frescatto,0.0,106.66666666535872,0.0,106.6666662902761,0.0,106.66666724054866,0.0
Cubos de Salmao Fresco,0.0,106.66666669784561,0.0,106.66666784141647,0.0,106.66666554118154,0.0
Ovos Vermelhos Galinha Caipira Qualita,143.14679686352736,175.80427066372084,143.14679705380033,175.8042706621793,143.14679692006038,175.80427065269424,143.1467967806152
Azeite de Oliva Andorinha,31.180855338714895,25.092192915003203,31.180855338521443,25.092192882662836,31.18085533573693,25.09219293077915,31.180855338107175
Cenoura Qualita,0.0,53.33333332532359,0.0,53.3333334093877,0.0,53.33333348163156,0.0
Brocolis Congelados Taeq,37.50000008263472,0.0,37.50000008263487,0.0,37.50000008263487,0.0,37.50000008263487
Couve Manteiga Qualita,0.0,53.33333339536237,0.0,53.33333288938817,0.0,53.33333383465344,0.0
Quiabo Qualita,40.0000000406702,0.0,40.000000031161065,0.0,40.00000003695319,0.0,40.00000005077724
Jilo,0.0,53.333333462381454,0.0,53.33333347851379,0.0,53.33333348934323,0.0
Vagem Macarrao Qualita,0.0,53.33333337996636,0.0,53.33333341580253,0.0,53.333333328808514,0.0
Abobora Moranga,40.0000002552736,0.0,40.00000025893054,0.0,40.000000257847475,0.0,40.000000259738734
Tomate,0.0,53.3333334088743,0.0,53.33333349065144,0.0,53.33333337989743,0.0
Pepino,40.00000011426016,0.0,40.00000011932165,0.0,40.00000011809735,0.0,40.000000120602785
Abobrinha Italiana,0.0,53.33333344891585,0.0,53.33333349961356,0.0,53.333333424125826,0.0
Queijo Mussarela Sadia,40.00002435986673,0.0,40.00002443786244,0.0,40.000024464829906,0.0,40.000024304479226
Presunto Seara,39.999995460798644,0.0,39.999995440785035,0.0,39.99999550223401,0.0,39.999995428772486
Requeijao,42.729479090544785,43.0273612278943,42.72947907286304,43.027361212470375,42.729479096007964,43.02736125822746,42.72947908848291
Iogurte,0.0,133.33333332083666,0.0,133.3333330970444,0.0,133.3333338478704,0.0
Banana,74.99999998268379,0.0,75.00000009802824,0.0,75.00000008288181,0.0,75.00000016973205
